Date,Value,Category,SubCategory,Source
2008,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2009,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2010,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2011,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2012,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2013,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2014,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2015,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2016,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2017,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2018,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2019,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2020,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
2021,80,Transport-Road Network,Road Kilometerage-Kalutara-Class A,cbsl
