Date,Value,Category,SubCategory,Source
2008,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2009,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2010,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2011,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2012,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2013,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2014,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2015,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2016,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2017,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2018,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2019,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2020,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
2021,341,Transport-Road Network,Road Kilometerage-Kalutara-Class B,cbsl
