Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2008,1041,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2009,1068,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2010,1085,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2011,1112,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2012,1129,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2013,1129,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2014,1114,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2015,1115,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2016,1115,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2017,1115,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2018,1115,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2019,1114,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2020,1115,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
2021,1097,Transport-Road Network,Road Kilometerage-Kalutara-Total,cbsl
