Date,Value,Category,SubCategory,Source
2008,554,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2009,555,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2010,555,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2011,555,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2012,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2013,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2014,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2015,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2016,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2017,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2018,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2019,563,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2020,542,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
2021,542,Transport-Road Network,Road Kilometerage-Kandy-Class B,cbsl
