Date,Value,Category,SubCategory,Source
2008,919,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2009,920,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2010,920,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2011,920,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2012,920,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2013,920,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2014,934,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2015,929,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2016,929,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2017,929,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2018,929,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2019,929,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2020,927,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
2021,927,Transport-Road Network,Road Kilometerage-Kandy-Class C,cbsl
