Date,Value,Category,SubCategory,Source
2008,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2009,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2010,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2011,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2012,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2013,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2014,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2015,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2016,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2017,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2018,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2019,352,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2020,353,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
2021,353,Transport-Road Network,Road Kilometerage-Kandy-Class D,cbsl
