Date,Value,Category,SubCategory,Source
2008,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2009,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2010,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2011,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2012,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2013,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2014,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2015,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2016,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2017,365,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2018,369,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2019,369,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2020,363,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
2021,363,Transport-Road Network,Road Kilometerage-Kegalle-Class B,cbsl
