Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2008,1662,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2009,1468,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2010,1797,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2011,1468,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2012,1781,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2013,1781,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2014,1781,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2015,1781,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2016,1781,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2017,1781,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2018,1675,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2019,1675,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2020,1680,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
2021,1678,Transport-Road Network,Road Kilometerage-Kegalle-Total,cbsl
