Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2009,186,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2010,253,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2011,254,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2012,254,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2013,322,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2014,322,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2015,322,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2016,322,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2017,322,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2018,322,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2019,335,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2020,334,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
2021,335,Transport-Road Network,Road Kilometerage-Kilinochchi-Class C,cbsl
