Date,Value,Category,SubCategory,Source
2008,198,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2009,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2010,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2011,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2012,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2013,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2014,196,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2015,196,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2016,196,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2017,196,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2018,196,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2019,196,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2020,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
2021,197,Transport-Road Network,Road Kilometerage-Kurunegala-Class A,cbsl
