Date,Value,Category,SubCategory,Source
2008,610,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2009,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2010,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2011,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2012,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2013,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2014,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2015,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2016,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2017,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2018,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2019,638,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2020,640,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
2021,640,Transport-Road Network,Road Kilometerage-Kurunegala-Class B,cbsl
