Date,Value,Category,SubCategory,Source
2008,668,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2009,668,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2010,819,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2011,668,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2012,668,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2013,1339,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2014,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2015,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2016,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2017,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2018,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2019,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2020,1254,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
2021,1288,Transport-Road Network,Road Kilometerage-Kurunegala-Class C,cbsl
