Date,Value,Category,SubCategory,Source
2008,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2009,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2010,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2011,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2012,54,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2013,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2014,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2015,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2016,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2017,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2018,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2019,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2020,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
2021,92,Transport-Road Network,Road Kilometerage-Mannar-Class B,cbsl
