Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2009,52,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2010,52,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2011,27,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2012,20,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2013,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2014,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2015,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2016,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2017,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2018,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2019,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2020,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
2021,26,Transport-Road Network,Road Kilometerage-Mannar-Class D,cbsl
