Date,Value,Category,SubCategory,Source
2008,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2009,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2010,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2011,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2012,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2013,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2014,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2015,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2016,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2017,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2018,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2019,105,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2020,106,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
2021,106,Transport-Road Network,Road Kilometerage-Matale-Class A,cbsl
