Date,Value,Category,SubCategory,Source
2008,303,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2009,303,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2010,303,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2011,303,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2012,303,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2013,303,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2014,299,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2015,301,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2016,301,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2017,300,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2018,301,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2019,301,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2020,301,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
2021,301,Transport-Road Network,Road Kilometerage-Matale-Class C,cbsl
