Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2008,853,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2009,853,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2010,868,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2011,868,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2012,868,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2013,868,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2014,864,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2015,866,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2016,866,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2017,865,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2018,866,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2019,866,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2020,875,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
2021,875,Transport-Road Network,Road Kilometerage-Matale-Total,cbsl
