Date,Value,Category,SubCategory,Source
2008,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2009,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2010,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2011,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2012,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2013,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2014,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2015,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2016,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2017,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2018,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2019,135,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2020,141,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
2021,141,Transport-Road Network,Road Kilometerage-Matara-Class A,cbsl
