Date,Value,Category,SubCategory,Source
2008,252,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2009,252,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2010,252,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2011,252,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2012,252,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2013,252,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2014,257,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2015,257,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2016,257,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2017,257,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2018,257,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2019,257,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2020,294,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
2021,267,Transport-Road Network,Road Kilometerage-Matara-Class B,cbsl
