Date,Value,Category,SubCategory,Source
2008,228,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2009,248,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2010,248,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2011,248,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2012,248,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2013,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2014,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2015,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2016,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2017,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2018,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2019,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2020,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
2021,243,Transport-Road Network,Road Kilometerage-Matara-Class D,cbsl
