Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2008,925,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2009,934,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2010,934,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2011,934,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2012,930,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2013,919,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2014,935,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2015,935,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2016,935,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2017,935,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2018,935,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2019,935,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2020,996,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
2021,969,Transport-Road Network,Road Kilometerage-Matara-Total,cbsl
