Date,Value,Category,SubCategory,Source
2008,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2009,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2010,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2011,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2012,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2013,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2014,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2015,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2016,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2017,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2018,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2019,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2020,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
2021,204,Transport-Road Network,Road Kilometerage-Monaragala-Class A,cbsl
