Date,Value,Category,SubCategory,Source
2008,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2009,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2010,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2011,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2012,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2013,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2014,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2015,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2016,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2017,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2018,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2019,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2020,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
2021,261,Transport-Road Network,Road Kilometerage-Monaragala-Class B,cbsl
