Date,Value,Category,SubCategory,Source
2008,558,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2009,558,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2010,558,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2011,558,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2012,558,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2013,558,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2014,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2015,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2016,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2017,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2018,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2019,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2020,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
2021,580,Transport-Road Network,Road Kilometerage-Monaragala-Class C,cbsl
