Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2009,201,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2010,201,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2011,392,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2012,398,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2013,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2014,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2015,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2016,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2017,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2018,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2019,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2020,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
2021,390,Transport-Road Network,Road Kilometerage-Mullaitivu-Class C,cbsl
