Date,Value,Category,SubCategory,Source
2000,494,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2001,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2002,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2003,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2004,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2005,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2006,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2007,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2008,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2009,494,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2010,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2011,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2012,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2013,495,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2014,492,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2015,492,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2016,492,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2017,492,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2018,492.0,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2019,491,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2020,491.0,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
2021,491,Transport-Road Network,Road Kilometerage-North Central-Class A,cbsl
