Date,Value,Category,SubCategory,Source
2000,419,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2001,419,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2002,419,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2003,419,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2004,421,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2005,421,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2006,709,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2007,715,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2008,756,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2009,756,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2010,756,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2011,722,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2012,736,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2013,736,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2014,736,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2015,736,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2016,736,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2017,721,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2018,721.0,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2019,721,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2020,721.0,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
2021,721,Transport-Road Network,Road Kilometerage-North Central-Class D,cbsl
