Date,Value,Category,SubCategory,Source
2002,2297,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2003,2751,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2004,2775,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2005,2779,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2006,3105,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2007,3120,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2008,3120,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2009,3181,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2010,3231,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2011,3231,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2012,3141,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2013,3141,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2014,3141,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2015,3141,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2016,3141,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2017,3142,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2018,3141.0,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2019,3144,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2020,3144.0,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
2021,3145,Transport-Road Network,Road Kilometerage-North Central-Total,cbsl
