Date,Value,Category,SubCategory,Source
2000,354,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2001,408,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2002,408,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2003,408,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2004,408,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2005,408,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2006,354,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2007,354,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2008,354,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2009,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2010,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2011,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2012,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2013,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2014,352,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2015,352,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2016,352,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2017,352,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2018,352.0,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2019,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2020,353.0,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
2021,353,Transport-Road Network,Road Kilometerage-North Western-Class A,cbsl
