Date,Value,Category,SubCategory,Source
2000,921,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2001,921,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2002,919,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2003,919,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2004,919,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2005,919,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2006,919,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2007,919,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2008,934,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2009,962,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2010,971,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2011,971,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2012,971,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2013,971,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2014,1003,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2015,1003,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2016,1003,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2017,1003,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2018,1003.0,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2019,975,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2020,975.0,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
2021,1005,Transport-Road Network,Road Kilometerage-North Western-Class B,cbsl
