Date,Value,Category,SubCategory,Source
2000,1065,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2001,1064,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2002,1077,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2003,1077,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2004,1077,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2005,1077,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2006,1092,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2007,1092,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2008,1091,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2009,1261,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2010,1091,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2011,1091,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2012,1091,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2013,1429,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2014,1914,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2015,1914,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2016,1914,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2017,1914,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2018,1914.0,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2019,1914,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2020,1914.0,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
2021,1905,Transport-Road Network,Road Kilometerage-North Western-Class C,cbsl
