Date,Value,Category,SubCategory,Source
2002,39,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2003,39,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2004,39,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2005,39,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2006,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2007,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2008,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2009,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2010,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2011,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2012,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2013,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2014,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2015,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2016,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2017,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2018,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2019,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2020,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
2021,0,Transport-Road Network,Road Kilometerage-North Western-Class E,cbsl
