Date,Value,Category,SubCategory,Source
2000,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2001,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2002,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2003,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2004,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2005,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2006,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2007,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2008,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2009,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2010,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2011,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2012,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2013,524,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2014,525,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2015,525,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2016,525,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2017,525,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2018,525.0,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2019,525,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2020,525.0,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
2021,525,Transport-Road Network,Road Kilometerage-Northern-Class B,cbsl
