Date,Value,Category,SubCategory,Source
2000,745,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2001,745,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2002,745,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2003,745,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2004,745,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2005,745,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2008,0,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2009,502,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2010,134,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2011,134,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2012,134,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2013,161,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2014,161,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2015,161,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2016,161,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2017,161,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2018,161.0,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2019,148,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2020,148.0,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
2021,161,Transport-Road Network,Road Kilometerage-Northern-Class D,cbsl
