Date,Value,Category,SubCategory,Source
2008,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2009,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2010,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2011,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2012,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2013,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2014,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2015,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2016,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2017,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2018,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2019,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2020,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
2021,120,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class A,cbsl
