Date,Value,Category,SubCategory,Source
2008,443,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2009,443,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2010,443,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2011,442,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2012,443,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2013,443,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2014,433,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2015,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2016,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2017,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2018,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2019,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2020,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
2021,436,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Class C,cbsl
