Date,Value,Category,SubCategory,Source
2008,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2009,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2010,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2011,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2012,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2013,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2014,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2015,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2016,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2017,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2018,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2019,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2020,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
2021,143,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class A,cbsl
