Date,Value,Category,SubCategory,Source
2008,494,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2009,542,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2010,542,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2011,542,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2012,471,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2013,471,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2014,471,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2015,471,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2016,471,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2017,471,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2018,486,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2019,486,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2020,486,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
2021,486,Transport-Road Network,Road Kilometerage-Polonnaruwa-Class C,cbsl
