Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2008,891,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2009,926,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2010,955,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2011,955,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2012,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2013,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2014,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2015,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2016,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2017,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2018,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2019,882,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2020,886,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
2021,886,Transport-Road Network,Road Kilometerage-Polonnaruwa-Total,cbsl
