Date,Value,Category,SubCategory,Source
2008,223,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2009,223,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2010,203,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2011,223,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2012,223,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2013,394,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2014,344,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2015,344,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2016,344,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2017,344,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2018,344,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2019,334,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2020,344,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
2021,341,Transport-Road Network,Road Kilometerage-Puttalam-Class D,cbsl
