Date,Value,Category,SubCategory,Source
2008,614,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2009,670,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2010,736,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2011,671,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2012,688,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2013,688,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2014,688,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2015,688,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2016,688,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2017,688,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2018,693,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2019,693,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2020,680,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
2021,699,Transport-Road Network,Road Kilometerage-Ratnapura-Class C,cbsl
