Date,Value,Category,SubCategory,Source
2005,0,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2008,1709,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2009,1836,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2010,1980,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2011,1837,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2012,2230,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2013,2230,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2014,2230,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2015,2230,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2016,2230,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2017,2230,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2018,2172,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2019,2172,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2020,2180,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
2021,2202,Transport-Road Network,Road Kilometerage-Ratnapura-Total,cbsl
