Date,Value,Category,SubCategory,Source
2000,684,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2001,692,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2002,692,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2003,692,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2004,692,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2005,694,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2006,749,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2007,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2008,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2009,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2010,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2011,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2012,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2013,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2014,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2015,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2016,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2017,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2018,809.0,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2019,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2020,804.0,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
2021,804,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class B,cbsl
