Date,Value,Category,SubCategory,Source
2000,818,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2001,818,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2002,818,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2003,818,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2004,818,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2005,818,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2006,1260,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2007,1260,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2008,1260,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2009,1260,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2010,1148,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2011,1247,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2012,1247,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2013,1247,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2014,1247,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2015,1247,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2016,1247,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2017,1268,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2018,1268.0,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2019,1233,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2020,1233.0,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
2021,1252,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class C,cbsl
