Date,Value,Category,SubCategory,Source
2000,312,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2001,312,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2002,301,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2003,304,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2004,304,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2005,304,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2006,892,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2007,892,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2008,892,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2009,892,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2010,937,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2011,1544,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2012,1544,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2013,1544,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2014,1544,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2015,1544,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2016,1544,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2017,1355,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2018,1355.0,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2019,1406,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2020,1406.0,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
2021,1407,Transport-Road Network,Road Kilometerage-Sabaragamuwa-Class D,cbsl
