Date,Value,Category,SubCategory,Source
2000,590,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2001,883,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2002,883,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2003,883,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2004,883,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2005,1107,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2006,775,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2007,775,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2008,775,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2009,803,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2010,803,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2011,803,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2012,720,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2013,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2014,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2015,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2016,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2017,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2018,715.0,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2019,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2020,715.0,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
2021,715,Transport-Road Network,Road Kilometerage-Southern-Class D,cbsl
