Date,Value,Category,SubCategory,Source
2000,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2001,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2002,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2003,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2004,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2005,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2008,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2009,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2010,0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2011,42,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2012,42,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2013,42,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2014,71,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2015,71,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2016,71,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2017,71,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2018,71.0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2019,108,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2020,162.0,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
2021,162,Transport-Road Network,Road Kilometerage-Southern-Expressways,cbsl
