Date,Value,Category,SubCategory,Source
2002,3206,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2003,3206,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2004,3215,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2005,3547,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2006,3119,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2007,3150,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2008,3137,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2009,3164,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2010,3194,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2011,3236,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2012,3183,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2013,3169,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2014,3204,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2015,3204,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2016,3204,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2017,3204,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2018,3204.0,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2019,3255,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2020,3309.0,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
2021,3300,Transport-Road Network,Road Kilometerage-Southern-Total,cbsl
