Date,Value,Category,SubCategory,Source
2008,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2009,273,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2010,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2011,273,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2012,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2013,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2014,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2015,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2016,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2017,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2018,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2019,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2020,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
2021,141,Transport-Road Network,Road Kilometerage-Trincomalee-Class A,cbsl
