Date,Value,Category,SubCategory,Source
2008,186,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2009,282,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2010,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2011,282,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2012,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2013,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2014,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2015,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2016,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2017,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2018,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2019,209,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2020,210,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
2021,210,Transport-Road Network,Road Kilometerage-Trincomalee-Class B,cbsl
