Date,Value,Category,SubCategory,Source
2008,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2009,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2010,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2011,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2012,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2013,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2014,90,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2015,99,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2016,99,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2017,100,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2018,100,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2019,100,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2020,102,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
2021,102,Transport-Road Network,Road Kilometerage-Trincomalee-Class D,cbsl
