Date,Value,Category,SubCategory,Source
2000,469,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2001,469,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2002,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2003,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2004,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2005,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2006,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2007,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2008,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2009,469,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2010,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2011,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2012,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2013,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2014,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2015,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2016,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2017,471,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2018,471.0,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2019,469,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2020,469.0,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
2021,469,Transport-Road Network,Road Kilometerage-Uva-Class A,cbsl
