Date,Value,Category,SubCategory,Source
2000,523,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2001,523,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2002,523,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2003,523,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2004,523,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2005,523,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2006,1568,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2007,1568,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2008,1559,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2009,1559,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2010,1559,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2011,1559,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2012,1559,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2013,1522,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2014,1689,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2015,1689,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2016,1689,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2017,1689,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2018,1689.0,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2019,1689,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2020,1689.0,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
2021,1689,Transport-Road Network,Road Kilometerage-Uva-Class C,cbsl
