Date,Value,Category,SubCategory,Source
2000,213,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2001,213,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2002,213,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2003,213,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2004,213,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2005,213,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2006,171,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2007,171,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2008,180,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2009,180,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2010,180,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2011,180,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2012,180,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2013,215,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2014,682,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2015,682,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2016,682,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2017,682,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2018,682.0,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2019,682,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2020,682.0,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
2021,682,Transport-Road Network,Road Kilometerage-Uva-Class D,cbsl
