Date,Value,Category,SubCategory,Source
2008,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2009,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2010,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2011,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2012,113,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2013,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2014,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2015,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2016,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2017,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2018,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2019,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2020,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
2021,128,Transport-Road Network,Road Kilometerage-Vavuniya-Class A,cbsl
