Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2009,115,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2010,115,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2011,24,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2012,27,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2013,34,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2014,34,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2015,34,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2016,34,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2017,34,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2018,33,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2019,33,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2020,33,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
2021,34,Transport-Road Network,Road Kilometerage-Vavuniya-Class D,cbsl
