Date,Value,Category,SubCategory,Source
2000,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2001,372,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2002,372,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2003,372,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2004,372,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2005,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2006,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2007,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2008,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2009,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2010,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2011,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2012,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2013,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2014,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2015,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2016,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2017,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2018,374.0,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2019,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2020,374.0,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
2021,374,Transport-Road Network,Road Kilometerage-Western-Class A,cbsl
