Date,Value,Category,SubCategory,Source
2000,1172,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2001,1177,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2002,1183,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2003,1183,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2004,1183,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2005,1191,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2006,1192,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2007,1209,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2008,1209,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2009,1209,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2010,1209,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2011,1209,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2012,1215,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2013,1219,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2014,1222,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2015,1224,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2016,1224,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2017,1224,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2018,1230.0,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2019,253,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2020,1257.0,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
2021,1235,Transport-Road Network,Road Kilometerage-Western-Class B,cbsl
