Date,Value,Category,SubCategory,Source
2000,978,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2001,977,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2002,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2003,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2004,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2005,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2006,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2007,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2008,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2009,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2010,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2011,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2012,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2013,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2014,998,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2015,1078,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2016,1078,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2017,1078,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2018,1078.0,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2019,1078,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2020,1078.0,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
2021,1027,Transport-Road Network,Road Kilometerage-Western-Class C,cbsl
