Date,Value,Category,SubCategory,Source
2000,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2001,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2002,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2003,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2004,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2005,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2006,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2007,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2008,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2009,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2010,0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2011,53,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2012,53,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2013,79,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2014,89,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2015,98,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2016,98,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2017,98,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2018,98.0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2019,108,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2020,108.0,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
2021,113,Transport-Road Network,Road Kilometerage-Western-Expressways,cbsl
