Date,Value,Category,SubCategory,Source
2002,3474,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2003,3473,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2004,3478,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2005,3574,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2006,3410,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2007,3427,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2008,3427,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2009,3506,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2010,3536,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2011,3559,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2012,3595,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2013,3625,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2014,3638,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2015,3649,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2016,3649,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2017,3649,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2018,3655.0,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2019,3686,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2020,3690.0,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
2021,3613,Transport-Road Network,Road Kilometerage-Western-Total,cbsl
