Date,Value,Category,SubCategory,Source
1997,4221,Transport-Road Network,Road Network-Class A Roads,cbsl
1998,4222,Transport-Road Network,Road Network-Class A Roads,cbsl
1999,4221,Transport-Road Network,Road Network-Class A Roads,cbsl
2000,4222,Transport-Road Network,Road Network-Class A Roads,cbsl
2001,4337,Transport-Road Network,Road Network-Class A Roads,cbsl
2002,4339,Transport-Road Network,Road Network-Class A Roads,cbsl
2003,4339,Transport-Road Network,Road Network-Class A Roads,cbsl
2004,4339,Transport-Road Network,Road Network-Class A Roads,cbsl
2005,4314,Transport-Road Network,Road Network-Class A Roads,cbsl
2006,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2007,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2008,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2009,4216,Transport-Road Network,Road Network-Class A Roads,cbsl
2010,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2011,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2012,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2013,4219,Transport-Road Network,Road Network-Class A Roads,cbsl
2014,4215,Transport-Road Network,Road Network-Class A Roads,cbsl
2015,4215,Transport-Road Network,Road Network-Class A Roads,cbsl
2016,4215,Transport-Road Network,Road Network-Class A Roads,cbsl
2017,4215,Transport-Road Network,Road Network-Class A Roads,cbsl
2018,4215,Transport-Road Network,Road Network-Class A Roads,cbsl
2019,4215,Transport-Road Network,Road Network-Class A Roads,cbsl
2020,4217,Transport-Road Network,Road Network-Class A Roads,cbsl
2021,4217,Transport-Road Network,Road Network-Class A Roads,cbsl
2022,4217,Transport-Road Network,Road Network-Class A Roads,cbsl
