Date,Value,Category,SubCategory,Source
1997,6926,Transport-Road Network,Road Network-Class B Roads,cbsl
1998,6926,Transport-Road Network,Road Network-Class B Roads,cbsl
1999,7241,Transport-Road Network,Road Network-Class B Roads,cbsl
2000,7265,Transport-Road Network,Road Network-Class B Roads,cbsl
2001,7571,Transport-Road Network,Road Network-Class B Roads,cbsl
2002,7670,Transport-Road Network,Road Network-Class B Roads,cbsl
2003,7670,Transport-Road Network,Road Network-Class B Roads,cbsl
2004,7679,Transport-Road Network,Road Network-Class B Roads,cbsl
2005,7706,Transport-Road Network,Road Network-Class B Roads,cbsl
2006,7553,Transport-Road Network,Road Network-Class B Roads,cbsl
2007,7655,Transport-Road Network,Road Network-Class B Roads,cbsl
2008,7670,Transport-Road Network,Road Network-Class B Roads,cbsl
2009,7704,Transport-Road Network,Road Network-Class B Roads,cbsl
2010,7800,Transport-Road Network,Road Network-Class B Roads,cbsl
2011,7800,Transport-Road Network,Road Network-Class B Roads,cbsl
2012,7945,Transport-Road Network,Road Network-Class B Roads,cbsl
2013,7949,Transport-Road Network,Road Network-Class B Roads,cbsl
2014,7993,Transport-Road Network,Road Network-Class B Roads,cbsl
2015,7995,Transport-Road Network,Road Network-Class B Roads,cbsl
2016,7995,Transport-Road Network,Road Network-Class B Roads,cbsl
2017,7995,Transport-Road Network,Road Network-Class B Roads,cbsl
2018,8005,Transport-Road Network,Road Network-Class B Roads,cbsl
2019,8005,Transport-Road Network,Road Network-Class B Roads,cbsl
2020,8007,Transport-Road Network,Road Network-Class B Roads,cbsl
2021,8007,Transport-Road Network,Road Network-Class B Roads,cbsl
2022,8007,Transport-Road Network,Road Network-Class B Roads,cbsl
