Date,Value,Category,SubCategory,Source
2000,5243,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2001,6190,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2002,4988,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2003,4336,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2004,4133,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2005,3828,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2006,3776,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2007,4129,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2008,4246,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2009,4482,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2010,4441,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2011,4365,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2012,4314,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2013,4373,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2014,4596,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2015,5284,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2016,5342,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2017,5274,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2018,5242,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2019,5048,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2020,4045,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2021,3358,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
2022,4266,Transport-SLTB or Regional Bus Companies,SLTB - Regional Bus Companies-Buses Operated-All Island,cbsl
